Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,174.3069217,205.162268,206.3288407,176.0406778,101.0888607,69.21544128,63.53513759,55.96629882,51.3049177,62.34137832,79.92975335,34.26111844,31.76586097,57.39828503,67.85997919,86.58668903,99.68472457,105.9694744,108.4396195,117.6970124,119.3711991,160.5090601,200.8580031,251.8106992,290.8207427,331.0684757,409.3360209,508.7487893,539.673473,392.2839516,308.7263894,295.0335607,262.1004237,219.3016005,255.3090481,219.1009266,189.8299131,161.5177571,152.4430594,
India,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,13.3546609,13.63610271,14.85808269,18.30872582,14.88883193,25.56321725,39.47826828,50.33892491,64.95417269,57.9529008,36.07122306,30.58903735,26.80544355,26.05284629,24.38204322,23.33607802,21.54752064,15.49345893,10.91744391,6.753736085,8.97557783,10.86726083,16.06763852,24.7408255,24.37361317,26.48760661,30.17816999,31.16589712,36.08485931,40.59967978,49.29728141,67.71967149,87.25872698,106.459372,113.7210975,111.6121052,135.5392705,113.3462732,111.0687833,103.4613192,89.33615126,76.52670602,69.77083932,71.05481325,73.78867631,79.40563381,80.67142119,76.6105314,82.75738135,
United States,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
