Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,,,,,,,10.532624,11.32916468,9.4110158,4.904785992,5.171386764,6.723970032,5.523393777,5.083723162,8.500615063,10.10879091,3.767168266,3.154852767,5.858938313,6.328255863,7.710670457,15.35845709,15.31556484,13.63649454,10.94135864,12.63175652,15.29923308,11.44274032,12.90440062,14.16976539,15.39320499,18.09579141,19.14593165,25.38976246,21.82948573,19.13075724,19.08304802,19.54328204,18.96542019,17.93578486,16.71609827,15.41753232,13.14173917,13.75417755,14.86850327
India,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,,,,,,3.874054855,7.312783222,10.3910421,10.5609208,11.41289678,8.258352404,5.432987958,5.431671899,5.31354411,5.384315683,5.603183206,5.928524356,5.781032456,3.990473316,3.153607689,2.036402773,2.922966313,3.371169861,5.070948974,6.880554226,5.133859717,5.009045893,5.391801349,5.674376853,6.311481337,6.121479794,7.452952437,10.37308349,12.28328201,11.30510951,8.518473172,8.919928665,11.13919193,7.714252657,9.773711143,7.76063411,6.188790103,5.903715096,6.027746495,6.59913308,8.003091829,8.430139058,8.162718669,6.901055485,8.2736594,12.9283008
United States,Total reserves in months of imports,FI.RES.TOTL.MO,,,,,,,,,,,3.068784653,2.698194038,3.137043256,4.104354247,4.857933212,3.892803797,3.262006523,3.297937542,3.625705149,6.103344406,6.161654509,4.082218402,4.837333048,3.912365032,2.653561802,2.924834455,3.166281019,3.265035988,2.606233194,2.803189173,2.735575893,2.601693381,2.312314766,2.397651745,2.063913247,1.955235536,1.662758646,1.257268799,1.291271197,1.073773315,0.8542720969,0.938134144,1.116478103,1.198783996,1.055591112,0.9035889418,0.9207349808,1.065994995,1.079013567,1.920280774,2.003318902,1.961358924,2.046624204,1.594175967,1.480111113,1.350073216,1.441262202,1.487383404,1.357657453,1.548367965,2.102921325
