Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,0.890595956,1.034678024,1.162272129,0.8752070883,0.7997167353,0.9898267396,1.411920603,1.461958443,1.623897214,1.950395483,2.161922097,2.017829323,2.290942075,1.9771274,2.084670412,1.850947063,1.940504639,1.820959894,2.462426188,2.22371759,1.893644587,2.136201175,2.273980811,1.194966362,1.211836709,1.003002467,0.8961440139,0.7213374989,0.7835262626,0.8596458635,0.8394593196,0.8486472084,0.8131901315,0.7779873701,1.149637504,1.499351123,1.677010712,1.743423129,1.935802969,
India,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,2.19303005,0.8616836434,0.9012636076,0.816506871,0.8224572119,0.8768385777,1.176978939,1.010059515,0.9521235419,0.8365478899,0.7487171256,0.8016060627,0.9869870645,1.141211119,1.361330113,1.471601376,2.011466071,1.890432058,1.900010499,2.231670947,2.428967535,2.799851689,2.56225568,2.878963622,3.234427162,3.687640766,3.007462439,2.953208958,2.820885932,2.180975615,2.301935344,2.445838803,3.019419968,4.270981204,2.486375894,2.937129151,1.865263964,3.252069701,2.599096701,1.238895902,1.472715013,1.620390886,1.686451936,2.11147369,4.606239518,2.388558713,3.42449506,1.953136392,2.381826066,1.809317589,
United States,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
