Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,,7.040823235,9.598448109,12.11820841,16.32831897,25.41529212,36.46042686,26.56776405,26.68593544,34.54585231,44.04049287,45.83174418,52.91116265,65.28871192,56.17380967,70.0672898,65.77711601,93.75404184,111.7145473,134.7493112,158.1728538,155.332192,160.034163,172.4491212,174.8448721,142.9966483,142.907111,187.637111,208.2530512,206.925085,219.0993003,236.2427815,236.3347955,205.6421988,237.6702677,295.9246137,299.8866591,297.8395236,299.3979452,304.4963326,285.9447796,293.9154878,335.8142059,330.8037479,354.4306033,376.8997004,376.7396838,387.1512987,374.2178454,385.4265002,424.4187755,440.8322592,450.8029431,449.0524477,464.8275736,464.6199489,463.187015,421.4677499,393.2154566,,
India,,2.171289937,2.885768985,3.453991236,4.901985647,4.959043333,6.939907939,9.631993992,10.99963141,12.3893584,14.05455904,16.6303613,17.27928783,17.62561784,15.93364747,21.58825492,21.0839396,26.50762994,31.43243955,32.26120261,33.97276088,37.34899823,35.93043627,40.7756311,48.89070885,52.98642534,58.85599936,51.11791918,66.09647076,69.210771,73.52302412,77.99931978,74.70166435,76.17673723,83.45589294,85.70285527,89.04232883,100.1725608,104.0679516,112.1710203,103.7861182,108.1821987,100.3290553,105.1772039,115.2715101,127.614592,136.4039215,142.8352255,153.3493908,167.4572959,179.0358769,180.7482912,163.1220216,156.4956981,163.4980794,171.0349325,165.89799,170.0011508,175.0153437,,
United States,,41.33427808,46.72553669,51.06483422,55.0294808,61.03819904,69.24350582,76.2348038,76.85677818,76.13479994,80.63532546,82.87535888,85.72313082,91.54384325,88.70377917,95.64874292,105.1948791,102.81233,104.8853249,110.1793192,112.8309808,106.9980337,93.24290358,98.80413618,105.1617853,98.55976657,93.14965483,94.8042593,95.62842739,98.80015604,100.4412823,100.7972785,102.8030394,108.8855303,108.0577016,108.7728004,112.8720826,113.8628603,112.3411025,111.8602263,108.7514593,110.1302646,112.5172781,120.204496,121.6080303,117.7752144,123.438462,123.3453228,113.3994097,107.7355458,115.7948915,128.3608613,132.6729487,134.9636578,132.3572944,127.7443986,129.3097644,131.9909973,128.7651689,,
