Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,,193.6170213,175.1504425,160.2827763,141.3996627,136.4064955,142.7091328,146.4964693,200.5952381,174.7484909,167.2485769,141.8577198,132.6390293,132.5612014,124.6523586,123.075265,115.9263272,120.9228121,120.2435649,119.1258025,121.0048292,118.6384278,122.6189319,129.6256618,131.860216,125.165702,121.1980438,132.9475541,142.4683943,138.5053434,142.3656531,147.9987625,140.7079893,126.0815388,134.7472655,140.3593068,132.8667244,132.9052679,125.9136913,123.6014028,119.973872,118.1251874,126.6816675,113.2319939,110.5477872,115.1949271,110.0687809,101.1678361,98.62345881,96.10379603,93.47178232,93.93347402,94.41666903,93.16043396,87.89423269,85.22610059,88.13968095,90.06735858,90.06261805,,
India,,153.9834046,160.0741963,166.3954086,206.6109077,219.9675347,242.0497031,252.4192226,226.835867,207.6915016,212.7663587,214.3444937,199.8772386,206.5264843,169.5414416,191.1582864,145.6002045,160.3149724,173.0522766,175.4767214,183.0532028,148.0293889,132.3514811,145.0326086,152.2496671,150.1416794,135.5644178,116.2623306,119.2327591,132.1186771,132.5024934,128.7514621,124.3916894,135.2755684,129.2829378,122.3239122,128.1567469,122.9849385,122.8659943,126.0896844,113.6874603,118.5945931,113.401275,119.9610551,121.4863244,132.8960089,152.5510538,172.230339,188.9650179,181.2310086,171.4917641,171.1962371,159.5402789,149.517842,154.5461136,149.4416731,144.72852,146.530556,152.7011876,,
United States,,92.01639943,93.6281842,92.34558449,92.10360745,90.53684095,93.20078283,94.64234941,97.61474177,97.56266306,96.38804326,98.07013032,96.44816468,96.452858,96.63358714,97.88602376,102.153906,101.2129065,94.64398848,92.39780256,91.10412705,104.9164356,97.35724734,94.55636407,88.43471256,101.7096706,81.85634361,77.47429597,75.84208096,79.18593958,76.84509263,73.01668028,73.84392824,78.09502708,75.90992,77.30150959,74.94354603,83.46689798,84.86115541,95.38296207,106.1527956,102.8112413,109.3108222,126.1506592,122.7580813,120.3749477,124.8980668,120.4238861,122.9175878,122.63736,119.5191881,129.1715603,131.4242682,134.7097975,133.2838045,129.4890092,127.1828083,125.0855204,118.1038928,,
