Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,,1.400000005,4.499999996,11.3,12.90000001,9.699999996,7.200000006,1.899999995,-1.599999991,0.799999989,7.700000007,1.900000001,-0.900000006,8.999999999,4.099999999,2.000000009,-1.800000006,-2.200000003,-1.113120876,6.13443148,-1.482469645,6.982534407,11.52882427,8.32589347,12.88061345,1.843879446,3.318687285,4.704184691,2.543933095,3.074999733,7.327732141,2.353530192,4.651003019,4.649179411,3.945545735,4.942642538,5.0398939,3.436640445,3.432994566,2.731373302,2.328518037,2.638071238,2.699946552,2.37205637,6.105019968,5.073914398,4.755278298,3.523649902,5.156004666,4.002425781,4.251069686,4.174289253,4.466541956,3.807199829,4.050468237,3.898521466,3.277813557,3.961291,3.4829175,3.085553092,3
India,,0.084207443,-1.989098824,2.339252223,9.224274695,-11.04219709,-1.422579222,14.87087224,-0.158278985,6.427516143,7.092165395,-1.877366735,-5.018479761,7.201906548,-1.523356925,12.88978365,-5.77818282,10.03625382,2.302506766,-12.77469046,12.88822533,4.601673301,-0.280834935,10.12097408,1.585092367,0.314273271,-0.409484449,-1.587796598,15.63964748,1.189154743,4.015095805,-1.952488235,6.651006784,3.322706831,4.715980136,-0.695377068,9.92029924,-2.553727839,6.320454459,2.669127344,-0.007618146,6.00708957,-6.604234507,9.048581158,0.183532765,4.809364049,2.938795485,5.506476634,-0.24419426,-0.880233005,8.791758288,6.397806254,1.487460494,5.570475656,-0.216448191,0.649599312,6.797558631,6.605921519,2.560951552,4.314766319,3.033525287
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.657256505,12.33213547,13.80658464,-3.776841609,-6.30633842,9.685001826,4.334518021,12.15814168,-5.304684651,-14.41260009,-0.172313356,12.02950851,-2.669932793,-6.510451366,-3.786491961,16.17881002,1.39813772,7.682638257,6.920067091,-2.602345108,4.978755744,5.3839676,
