Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,4456360000,4449800000,8707600000,10090779859,10106339043,17151500473,19831702778,21281443730,16881047188,16417429180,22453016928,23751513806,23052566323,34475661159,48165019103,24852636915,27348104117,57781337884,80288427870,111728900039,146448007873,152842955596,161414049492,171763098226,220056777617,297739475705,416199411549,622948544350,831409619696,1080755682870,1546364660543,1966037431070,2452899062068,2913711711315,3254674063563,3387512973774,3880368265253,3900039302991,3405253363888,3097658421378,3235681607213,3168216331199,3222894578036,3357240875434
India,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,674536630.9,666357094.9,512791844,607862500.4,499145125.8,600850886.2,609694584.5,663764119.8,730352744.9,927764119.8,1023173271,1245821898,1367601419,1629325093,2324650347,2064427968,3728750637,6085439869,8316115828,11815414019,12009788667,8108837891,8241561693,8215732399,8535944481,9493102974,10480102588,11511740599,9185839447,8048455918,5637446364,7615987475,9538786025,14674627090,24220928469,22864636916,24889364657,28385372946,30646563663,36005295926,41059061575,49050841139,71607865094,103737208056,131631143126,137824828256,178049790066,276578100117,257422725615,284682887898,300480168786,298739463091,300425517447,298092478741,325081035128,353319061013,361694321972,412613792020,399167159227,463469902153,590227359929
United States,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,19664164000,18825530000,17252463900,16878648000,16725493600,15498323200,14953446600,14898992000,17857180000,17031416000,15236515800,14831073226,20573775352,33703588954,55700252549,43154974089,44162131646,53374370833,69447964988,143259225733,171412607203,123907234986,143444661762,123110064423,104855936881,117981972232,139883920728,161738455238,144176820284,168583563269,173093564608,159272850288,147525874735,164620171357,163590579765,175995426883,160660160546,134836033327,146006089507,136450101867,128399516603,130076677028,157762914914,184024332193,190464790633,188259141662,221088725059,277548941769,294045673780,404098925258,488928508742,537267041107,574268084132,448508920738,434416188745,383728497570,405942428720,451285263406,449907088829,516700583371,628369715338
