Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,7.58958386,9.761050959,6.614426911,6.369709602,8.34258792,7.999671913,8.506738202,10.10163522,10.61087783,10.84711676,9.384995803,10.24384239,8.135514205,8.984162228,8.320078782,11.50088387,8.706504262,9.175669782,7.104092035,6.095419137,5.088722148,3.027544973,1.279926137,1.096618261,0.8503601083,0.6457705224,0.5868387273,0.6412378813,0.792138792,0.6572327209,0.445864721,0.4799384911,0.544561376,1.340451023,0.7640744497,0.6920601914,0.7397452889,1.02112598,
India,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,,,,,,,,,,,,,,,,13.8880238,16.88630227,14.5944442,14.21623643,10.69591818,9.271040759,10.1001582,10.98564592,13.50541932,14.6672021,19.147051,28.48310844,27.84450181,26.69770984,26.52363081,27.16493477,26.76187284,25.43842758,25.19740135,29.72220921,30.54464764,25.41179561,24.54036614,22.49060103,15.58986789,15.37852528,12.78737238,16.09366307,20.43705786,7.720647971,9.686731878,3.0409734,4.086741973,4.670889668,2.4299318,1.744808799,1.761088064,1.681188365,2.255267107,2.708261093,3.085805577,5.064044189,2.783417025,4.23263827,2.919825749,
United States,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
