Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.97506997,32.09392433,32.45232806,32.38335312,32.1194116,31.59623809,31.61282168,32.06479119,31.52857787,30.67100807,30.39644421,28.95167058,28.06944224,28.10893687,27.84101115,26.77472177,26.17590672
India,14.75011809,15.35383648,15.86329813,15.75238835,14.85073996,15.01090777,14.50399297,13.23186125,13.52278801,14.14647158,14.45654509,14.98228674,15.10254938,15.01528531,16.34591338,15.83848666,16.26588883,16.08086893,17.09644052,17.85203449,16.7523758,16.77044375,16.36999594,16.66445469,16.7078036,16.41801286,16.22158381,16.20954935,16.10153485,16.9028459,16.59759644,15.67626016,15.80079982,15.91571211,16.76413813,17.8658506,17.5963408,16.51857853,15.71931602,15.18053671,15.92702302,15.30702128,15.55870173,15.58738665,15.82724574,15.97301704,17.30365333,16.86456778,17.09867415,17.14357767,17.02993425,16.13933744,15.81692301,15.25302269,15.06557011,15.58385459,15.16223713,15.01823875,14.85326442,13.32744188,12.96168503
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08717738,15.77432526,15.4533061,15.11687846,13.92241964,13.44541911,13.31608311,13.18019043,12.99307441,12.99411723,12.78247055,12.25570217,11.73147203,11.93268487,11.95221067,11.85220684,11.80679992,11.65242416,11.63367733,11.17131904,11.12900317,11.19770354,10.92624892,
