Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,GNI (current US$),NY.GNP.MKTP.CD,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,113687586299,138544284709,144182133388,163431551780,153940455342,174938098827,149540752829,178280594413,191149211575,195783049099,205361295279,231563322096,261221374529,310328084153,300735081441,272793546177,312230327072,347942587324,361822783694,384152337596,427130409859,443808937180,563288670008,722773475242,851309717507,950600282950,1012399391552,1079526985275,1196681328409,1320222692114,1455604866957,1650069477166,1950215394500,2269857202067,2746989420523,3558383398186,4622872256336,5093170992169,6061091977327,7481123496789,8512412397985,9492579024339,10488982516424,11019763021469,11188324988592,12300721956915,13819938054383,14246120664698,14623681312312
India,GNI (current US$),NY.GNP.MKTP.CD,36878683724,39026635578,41934681632,48186723224,56175789636,59210461463,45536890605,49790942203,52745455871,58086661684,62043816388,66959943084,71072538513,85101941339,99161036284,98178114598,102456488498,121215205686,137110195140,153181094633,186762452327,193535405875,200056669825,217346843963,210960266671,231344146134,247574348950,277014075282,293483314650,292602874479,316775332518,265995400855,283799332763,275444510281,323108717814,356252331233,389212066968,412314039081,417792938008,455259488556,463418960202,481233322102,511490036314,603192892963,704168745465,814482820622,932915277249,1211640646849,1191737412305,1333877109441,1657660320259,1807018710051,1806177662221,1833601556953,2015015376660,2079182325744,2247940124046,2622799774506,2672176417222,2843265469944,2598299250058
United States,GNI (current US$),NY.GNP.MKTP.CD,546400000000,566800000000,609200000000,643100000000,690700000000,749000000000,820100000000,867100000000,948600000000,1026000000000,1074359000000,1162926000000,1280507000000,1431848000000,1553300000000,1684554000000,1869603000000,2082670000000,2349856000000,2614202000000,2847055000000,3201886000000,3371448000000,3614168000000,4032292000000,4310074000000,4516535000000,4828878000000,5256093000000,5598381000000,5902290000000,6096750000000,6435469000000,6733768000000,7170251000000,7574691000000,8045907000000,8589268000000,9135464000000,9689215000000,10383669000000,10743701000000,11054386000000,11530051000000,12314253000000,13167294000000,14072268000000,14543492000000,14684902000000,14400953000000,15127772000000,15835775000000,16669124000000,17172525000000,18054959000000,18696014000000,19069313000000,19966722000000,20954575000000,21690015000000,
